Page,2015-07-01,2015-07-02,2015-07-03,2015-07-04,2015-07-05,2015-07-06,2015-07-07,2015-07-08,2015-07-09,2015-07-10,2015-07-11,2015-07-12,2015-07-13,2015-07-14,2015-07-15,2015-07-16,2015-07-17,2015-07-18,2015-07-19,2015-07-20,2015-07-21,2015-07-22,2015-07-23,2015-07-24,2015-07-25,2015-07-26,2015-07-27,2015-07-28,2015-07-29,2015-07-30,2015-07-31,2015-08-01,2015-08-02,2015-08-03,2015-08-04,2015-08-05,2015-08-06,2015-08-07,2015-08-08,2015-08-09,2015-08-10,2015-08-11,2015-08-12,2015-08-13,2015-08-14,2015-08-15,2015-08-16,2015-08-17,2015-08-18,2015-08-19,2015-08-20,2015-08-21,2015-08-22,2015-08-23,2015-08-24,2015-08-25,2015-08-26,2015-08-27,2015-08-28,2015-08-29,2015-08-30,2015-08-31,2015-09-01,2015-09-02,2015-09-03,2015-09-04,2015-09-05,2015-09-06,2015-09-07,2015-09-08,2015-09-09,2015-09-10,2015-09-11,2015-09-12,2015-09-13,2015-09-14,2015-09-15,2015-09-16,2015-09-17,2015-09-18,2015-09-19,2015-09-20,2015-09-21,2015-09-22,2015-09-23,2015-09-24,2015-09-25,2015-09-26,2015-09-27,2015-09-28,2015-09-29,2015-09-30,2015-10-01,2015-10-02,2015-10-03,2015-10-04,2015-10-05,2015-10-06,2015-10-07,2015-10-08,2015-10-09,2015-10-10,2015-10-11,2015-10-12,2015-10-13,2015-10-14,2015-10-15,2015-10-16,2015-10-17,2015-10-18,2015-10-19,2015-10-20,2015-10-21,2015-10-22,2015-10-23,2015-10-24,2015-10-25,2015-10-26,2015-10-27,2015-10-28,2015-10-29,2015-10-30,2015-10-31,2015-11-01,2015-11-02,2015-11-03,2015-11-04,2015-11-05,2015-11-06,2015-11-07,2015-11-08,2015-11-09,2015-11-10,2015-11-11,2015-11-12,2015-11-13,2015-11-14,2015-11-15,2015-11-16,2015-11-17,2015-11-18,2015-11-19,2015-11-20,2015-11-21,2015-11-22,2015-11-23,2015-11-24,2015-11-25,2015-11-26,2015-11-27,2015-11-28,2015-11-29,2015-11-30,2015-12-01,2015-12-02,2015-12-03,2015-12-04,2015-12-05,2015-12-06,2015-12-07,2015-12-08,2015-12-09,2015-12-10,2015-12-11,2015-12-12,2015-12-13,2015-12-14,2015-12-15,2015-12-16,2015-12-17,2015-12-18,2015-12-19,2015-12-20,2015-12-21,2015-12-22,2015-12-23,2015-12-24,2015-12-25,2015-12-26,2015-12-27,2015-12-28,2015-12-29,2015-12-30,2015-12-31,2016-01-01,2016-01-02,2016-01-03,2016-01-04,2016-01-05,2016-01-06,2016-01-07,2016-01-08,2016-01-09,2016-01-10,2016-01-11,2016-01-12,2016-01-13,2016-01-14,2016-01-15,2016-01-16,2016-01-17,2016-01-18,2016-01-19,2016-01-20,2016-01-21,2016-01-22,2016-01-23,2016-01-24,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-01-29,2016-01-30,2016-01-31,2016-02-01,2016-02-02,2016-02-03,2016-02-04,2016-02-05,2016-02-06,2016-02-07,2016-02-08,2016-02-09,2016-02-10,2016-02-11,2016-02-12,2016-02-13,2016-02-14,2016-02-15,2016-02-16,2016-02-17,2016-02-18,2016-02-19,2016-02-20,2016-02-21,2016-02-22,2016-02-23,2016-02-24,2016-02-25,2016-02-26,2016-02-27,2016-02-28,2016-02-29,2016-03-01,2016-03-02,2016-03-03,2016-03-04,2016-03-05,2016-03-06,2016-03-07,2016-03-08,2016-03-09,2016-03-10
傑克南瓜燈_zh.wikipedia.org_all-access_spider,7,3,2,4,3,0,3,2,3,4,2,1,6,7,0,4,1,4,11,3,2,10,11,5,4,1,1,2,5,3,2,1,2,1,8,1,5,1,7,7,1,9,0,6,2,3,3,2,4,0,1,7,1,1,3,1,3,6,1,4,3,1,4,4,5,4,2,1,4,3,4,4,5,5,0,4,6,2,4,5,5,1,2,0,6,5,1,4,0,3,3,7,2,4,6,2,10,3,4,2,3,3,7,2,3,3,3,3,7,6,1,3,5,7,2,2,5,2,5,4,8,6,12,15,7,2,5,8,1,4,13,2,4,1,1,2,3,1,7,2,6,6,0,2,7,2,2,4,0,2,4,3,2,5,1,32,6,4,3,8,3,2,2,13,4,2,6,2,4,7,2,4,6,4,7,5,6,4,1,7,5,4,2,2,3,2,5,2,2,3,6,0,3,8,3,3,5,3,7,14,2,3,3,5,6,5,1,6,3,1,5,3,6,6,5,1,5,4,1,0,3,5,4,0,7,2,1,2,3,5,2,4,5,9,4,11,5,10,8,3,6,4,4,5,2,4,4,1,8,5,2,6,2,12
奔跑吧兄弟_zh.wikipedia.org_all-access_spider,131,24,230,315,121,39,60,50,56,58,31,37,56,41,98,15,18,50,78,105,15,48,12,17,32,26,21,30,105,16,49,27,100,43,17,75,22,16,12,27,9,14,11,18,10,13,30,8,44,30,9,14,34,18,36,48,14,16,55,102,17,15,10,15,19,18,14,25,16,9,52,23,24,94,29,9,7,75,277,81,40,34,50,36,27,55,40,102,35,51,24,33,62,36,203,82,35,73,47,36,87,22,72,105,59,27,43,91,25,51,36,115,102,139,44,95,99,246,62,206,189,496,182,158,102,38,36,63,126,186,240,153,38,48,34,187,126,130,31,23,84,121,169,591,289,188,123,50,99,76,315,133,97,71,125,50,182,419,185,266,131,88,120,252,170,66,146,32,56,40,312,251,81,117,71,81,56,301,236,159,206,143,101,108,237,221,113,78,192,103,81,105,388,565,242,164,121,188,422,592,330,64,44,58,179,72,81,38,48,54,36,58,55,34,43,46,40,174,30,41,35,38,38,34,67,63,34,53,37,39,45,34,31,191,40,36,39,40,27,24,32,50,45,44,195,36,32,41,33,79,30,27,29,29
梅毒_zh.wikipedia.org_all-access_spider,38,13,7,23,21,8,53,56,82,21,31,22,36,20,31,20,39,20,10,34,9,9,12,5,16,6,11,13,8,5,5,3,11,10,10,7,9,8,7,7,8,12,8,9,11,9,7,10,8,7,11,8,8,5,6,15,7,9,15,5,3,11,7,14,10,15,5,7,9,11,11,12,17,10,11,11,9,8,8,13,19,15,10,24,13,21,15,22,10,12,13,8,8,13,12,14,8,22,12,8,12,15,3,6,9,14,15,14,7,12,6,7,11,12,13,3,4,13,6,80,16,14,10,15,8,11,12,15,11,14,12,11,7,9,4,17,12,4,11,6,10,16,13,10,15,8,11,13,14,14,12,5,6,10,20,14,19,16,14,19,7,12,12,17,9,15,69,15,21,15,15,17,11,18,15,12,7,11,17,11,24,12,12,5,15,11,16,7,19,8,21,17,12,15,13,13,43,13,19,17,19,24,22,16,16,12,15,17,22,22,20,15,14,12,27,18,9,11,25,9,16,12,50,28,14,19,14,12,14,9,11,17,10,9,13,21,14,18,7,10,11,22,25,29,8,15,37,16,22,26,21,96,27,8
爱的蜜方_zh.wikipedia.org_all-access_spider,8,8,13,7,26,5,9,4,5,27,22,3,16,11,11,7,5,4,5,17,3,5,14,2,8,0,3,28,6,6,4,2,2,2,11,6,5,5,4,7,1,3,2,3,3,3,5,9,5,2,3,4,2,2,7,2,6,2,2,11,6,2,4,9,3,7,9,4,7,3,3,6,3,10,10,4,3,2,7,2,11,8,4,5,6,4,4,11,6,6,3,6,2,5,6,1,8,1,5,2,5,2,4,1,3,6,7,3,2,5,0,5,1,4,4,6,4,2,10,3,4,3,2,4,4,3,2,5,11,2,8,2,1,3,4,3,4,1,3,2,8,3,6,3,10,1,1,6,3,2,8,2,2,3,3,11,8,6,4,5,4,5,7,4,3,7,3,7,7,2,5,2,2,2,9,4,4,3,6,3,11,0,7,11,2,1,11,10,4,4,3,3,6,7,4,4,8,6,5,8,5,6,7,2,7,3,8,7,5,4,15,9,6,5,4,6,6,8,4,3,8,5,4,2,1,5,5,7,4,8,3,7,4,8,1,2,5,6,3,6,3,5,8,6,5,4,7,12,7,5,5,7,9,4
北川景子_zh.wikipedia.org_all-access_spider,21,8,15,7,18,4,14,7,19,36,28,9,31,4,29,14,17,17,34,20,5,7,7,9,11,3,3,19,11,10,10,5,5,5,10,5,6,9,8,11,5,13,5,6,6,6,9,7,5,2,7,10,9,14,5,11,12,3,17,8,6,6,2,10,25,13,14,12,12,4,3,4,8,6,7,3,9,7,5,10,15,7,14,4,13,7,11,20,8,17,5,4,5,11,7,11,10,13,58,10,74,35,7,5,8,9,10,28,5,10,6,10,7,8,6,18,11,13,9,21,6,8,12,12,11,8,6,7,13,19,5,10,15,8,5,16,3,9,9,17,9,8,7,12,13,10,8,10,11,5,15,8,6,6,11,3,11,13,9,7,9,12,9,13,14,7,9,9,17,7,42,6,6,6,13,9,8,9,7,7,10,10,6,15,16,9,19,9,7,10,15,10,11,12,89,35,34,19,16,9,19,9,13,8,14,31,14,13,5,6,24,34,18,8,13,13,10,14,6,7,9,12,17,12,14,9,7,10,7,6,63,19,9,21,7,9,15,12,14,15,17,7,18,7,12,9,12,19,9,11,16,10,12,9
噬神者_zh.wikipedia.org_all-access_spider,4,0,3,11,8,4,5,11,8,4,10,10,73,20,13,75,33,6,17,18,2,14,80,11,26,21,10,7,7,5,2,5,4,5,1,6,1,6,4,12,42,24,6,6,4,3,20,12,5,3,21,11,4,14,11,1,6,2,6,1,15,20,7,3,7,8,8,36,3,2,1,4,3,11,3,3,2,14,15,11,12,6,45,10,9,5,24,20,50,72,15,13,8,11,13,17,12,7,15,10,11,10,11,6,17,13,13,4,11,17,7,4,20,8,6,13,6,11,9,12,16,8,6,10,8,9,8,6,11,7,8,4,3,7,8,4,9,6,2,6,1,5,5,5,11,3,2,4,24,7,7,9,6,20,7,6,4,6,4,23,13,7,5,2,7,36,25,4,10,3,6,12,7,3,5,5,4,17,5,58,27,5,9,5,17,10,6,5,12,6,9,10,8,9,14,18,13,13,10,9,10,6,26,6,17,12,14,15,16,14,16,6,7,15,6,10,19,10,14,9,15,6,4,12,12,11,6,3,3,26,7,12,6,7,4,7,9,6,4,11,10,6,12,11,15,4,9,5,52,20,36,20,14,5
樂陞科技_zh.wikipedia.org_all-access_spider,2,1,4,2,5,1,4,2,6,14,2,3,3,8,2,1,5,3,4,7,7,4,5,4,3,2,1,1,4,2,4,2,2,3,2,0,2,1,3,2,8,1,3,4,3,0,5,4,1,2,1,1,3,6,3,2,3,0,2,4,3,1,2,3,4,5,1,3,2,4,4,7,2,3,7,7,5,6,3,3,6,8,4,6,6,2,4,3,2,5,8,2,4,2,1,4,2,0,4,2,5,2,5,9,8,3,0,8,3,4,4,0,1,7,8,12,3,4,5,3,8,5,4,6,3,2,6,2,6,2,8,3,2,4,2,4,1,6,7,5,6,3,2,4,5,4,6,5,6,1,6,2,3,6,4,2,6,3,3,3,2,4,1,6,9,6,5,2,6,6,7,5,4,1,5,2,4,7,6,4,5,4,6,5,2,5,9,8,10,0,1,3,5,8,5,0,8,3,2,7,2,3,6,3,4,6,4,10,1,3,7,4,8,11,9,3,6,15,3,3,6,5,8,1,6,3,5,0,5,2,4,4,12,0,3,5,4,8,4,7,4,7,14,13,6,3,2,4,1,8,6,3,2,4
痔疮_zh.wikipedia.org_all-access_spider,15,37,12,16,4,15,21,7,4,6,6,4,7,9,7,10,12,16,29,11,26,22,10,5,7,14,7,5,15,4,9,2,1,4,5,6,5,8,4,7,6,11,11,5,8,6,6,2,11,6,3,3,8,6,4,4,6,6,5,3,7,5,7,9,5,9,8,7,7,3,12,6,17,3,6,5,8,4,9,12,11,10,10,8,15,12,9,9,7,9,16,9,12,16,8,19,7,9,14,17,8,3,10,15,5,6,19,5,8,21,8,7,6,7,6,20,11,8,9,8,6,8,9,8,10,10,10,13,19,7,15,9,6,8,7,13,9,10,8,9,5,6,11,9,13,16,4,10,16,9,12,8,8,9,5,10,14,23,13,11,8,10,11,6,11,12,18,6,14,12,10,10,8,10,21,53,8,7,6,12,27,12,29,6,7,11,11,9,9,17,12,9,12,14,22,13,8,19,19,10,15,11,11,9,10,12,8,6,11,10,7,7,15,18,10,15,14,11,2,12,10,3,5,8,9,17,9,13,8,11,7,10,8,10,9,21,9,14,8,10,10,9,15,20,9,15,11,22,14,14,17,22,10,5
刘涛_zh.wikipedia.org_all-access_spider,2,4,9,20,12,0,6,7,2,8,22,15,13,3,4,1,14,12,5,4,6,4,6,3,3,3,8,5,1,3,1,4,3,0,1,2,5,1,3,1,2,4,7,2,4,5,3,3,2,8,1,2,1,4,1,2,3,6,1,2,5,1,0,4,3,0,2,5,4,1,4,1,2,7,4,0,1,3,5,5,1,2,2,5,0,1,2,6,2,3,5,3,3,0,4,5,0,1,0,6,4,0,4,3,6,1,2,2,1,2,2,1,2,1,2,1,3,0,0,1,3,6,5,0,4,2,1,0,0,4,3,3,0,1,1,1,1,2,1,2,2,0,3,1,6,2,2,6,2,4,1,6,2,2,5,2,1,5,3,3,2,3,9,3,3,3,3,5,12,6,2,3,5,3,1,4,3,4,3,2,5,2,4,1,4,6,3,4,5,1,6,2,6,4,13,10,5,9,8,6,5,5,3,6,6,4,9,2,5,2,6,6,14,4,6,7,4,4,4,8,6,2,3,0,2,1,14,6,3,6,10,7,6,3,3,7,2,1,5,5,4,5,5,3,2,3,3,3,3,5,4,2,5,3
廉政英雄_zh.wikipedia.org_all-access_spider,8,20,10,27,17,21,67,15,44,51,40,74,89,109,33,45,41,11,71,24,11,29,53,37,24,15,10,17,15,8,26,23,13,14,19,25,3,10,19,25,9,26,3,3,10,9,5,37,12,6,8,63,4,3,14,7,26,7,29,7,36,20,10,84,43,34,113,38,11,5,5,30,15,26,35,79,7,31,28,17,75,32,29,14,42,16,17,55,72,19,14,34,38,120,136,65,39,23,111,15,20,25,57,15,56,14,17,74,122,213,62,101,223,73,140,215,112,14,22,69,16,92,12,29,89,29,109,43,45,133,26,36,111,40,23,52,141,30,45,14,54,33,95,245,39,17,94,43,54,58,103,60,15,23,36,15,14,73,40,7,25,44,93,25,39,30,14,24,17,16,18,41,21,14,15,61,10,46,17,15,71,18,20,16,22,24,28,21,16,16,20,33,21,26,17,22,76,27,15,27,19,15,21,12,37,27,18,29,24,31,33,34,33,62,54,16,18,57,16,19,39,15,75,14,19,20,23,13,21,19,45,16,16,23,16,13,35,91,32,14,21,89,24,25,97,53,56,16,71,23,21,10,38,16
丁海寅_zh.wikipedia.org_all-access_spider,2,0,1,14,5,23,8,6,4,6,2,2,6,8,2,5,3,2,3,2,4,7,7,7,8,2,3,4,7,3,63,8,1,2,3,0,3,1,0,2,1,4,6,4,3,5,2,6,4,4,2,2,3,2,3,0,3,2,4,3,1,5,1,2,4,6,1,1,2,4,8,5,1,0,3,10,6,3,2,7,4,1,2,3,5,3,4,4,11,24,6,8,6,9,6,9,2,5,5,1,3,9,24,2,1,13,5,9,4,4,6,11,4,2,6,9,5,2,9,3,2,2,7,4,3,4,5,3,1,2,6,5,2,5,2,2,4,2,4,0,3,3,3,1,3,12,6,4,2,4,6,31,1,2,5,3,3,3,3,9,4,4,4,11,3,2,6,2,2,3,7,35,5,2,4,2,2,7,10,12,1,7,3,3,3,7,2,2,1,15,3,4,9,4,2,10,6,4,6,2,33,8,3,5,5,10,6,7,6,4,2,4,5,3,4,5,2,5,4,2,7,5,6,7,4,2,3,5,4,2,1,5,5,5,1,4,8,9,7,8,13,8,6,5,7,11,3,7,5,7,10,3,2,4
赵匡胤_zh.wikipedia.org_all-access_spider,7,17,3,17,101,15,8,26,22,8,16,2,9,8,9,9,13,6,3,7,16,13,8,7,17,3,4,10,21,2,3,4,17,9,10,1,3,9,8,5,1,6,4,5,9,9,7,2,8,17,1,18,4,4,13,11,4,6,9,10,6,3,8,12,8,10,11,4,8,2,1,5,5,5,10,13,8,9,12,17,16,8,8,4,4,9,7,9,14,11,11,17,7,10,7,7,3,9,7,9,5,9,8,6,11,9,5,9,12,8,9,6,8,9,12,8,7,2,11,14,7,7,7,8,12,5,7,3,8,10,10,6,4,9,3,19,9,3,8,5,15,24,17,7,8,5,13,4,6,10,11,2,4,15,7,4,8,11,6,10,7,4,11,15,11,9,5,5,17,14,8,11,7,11,16,4,4,26,8,15,9,12,8,10,8,17,16,8,9,9,7,13,5,5,9,24,7,18,4,13,5,22,4,7,16,8,14,10,10,35,13,11,9,9,6,9,8,14,11,5,6,14,15,10,8,8,13,9,9,8,9,9,12,12,14,9,6,9,16,15,18,23,31,27,24,19,13,34,21,21,25,11,16,9
安喜延_zh.wikipedia.org_all-access_spider,3,0,1,0,2,4,3,4,6,30,8,12,28,34,0,,,,11,8,318,181,121,8,29,12,8,2,23,11,0,0,0,,,,,0,,0,22,26,1,4,8,7,19,8,1,4,4,4,5,17,3,7,8,9,7,4,16,13,5,13,5,41,13,9,11,7,6,16,11,11,11,8,9,16,25,8,9,8,10,16,43,9,18,9,19,9,6,8,6,10,4,9,7,3,7,8,7,19,6,1,11,10,7,7,4,9,10,13,11,6,5,6,13,6,8,8,10,2,4,3,7,6,5,8,3,20,10,8,4,7,9,21,55,3,8,6,1,7,7,53,7,20,10,7,18,9,8,12,9,9,7,8,18,18,8,14,14,11,13,4,8,10,12,6,10,7,19,11,8,8,5,3,10,24,19,8,9,12,5,14,77,67,55,4,7,12,38,7,17,4,27,8,17,16,8,17,14,9,15,10,10,8,19,15,23,28,14,29,16,43,14,13,9,5,17,14,21,10,9,7,10,8,47,10,10,10,18,8,12,11,7,11,9,7,9,6,11,10,40,15,12,22,11,11,33,13,15,11,10,3
芝加哥小熊_zh.wikipedia.org_all-access_spider,2,3,2,3,4,6,3,6,7,1,4,4,4,20,5,5,6,2,5,9,4,10,11,6,3,3,2,1,6,5,3,4,3,8,6,9,7,3,3,3,2,7,0,9,2,1,5,5,6,5,4,3,0,3,3,3,4,2,8,8,5,2,2,10,2,5,10,0,5,5,3,5,4,12,2,3,5,1,7,4,14,3,5,5,17,8,4,73,40,2,4,1,7,6,6,6,6,5,8,17,4,8,1,18,3,52,4,31,9,2,5,15,10,33,19,30,7,142,8,6,6,18,11,2,7,11,7,5,5,6,3,9,1,3,6,6,4,6,5,7,5,10,5,4,11,4,2,8,3,5,10,5,3,5,5,5,4,9,8,9,8,1,3,7,4,7,2,10,8,4,2,10,9,2,2,4,2,6,7,8,5,12,7,0,7,8,8,2,11,7,9,5,9,7,3,6,5,6,7,9,3,3,5,4,12,3,3,4,2,14,5,3,6,5,4,9,4,6,1,7,4,3,6,3,3,5,3,3,5,5,6,5,4,12,6,11,9,18,9,12,10,5,5,8,6,15,9,17,15,8,8,9,13,22
ONE_PIECE角色列表_zh.wikipedia.org_all-access_spider,13,9,8,4,6,9,32,26,37,14,9,27,120,86,15,25,5,8,21,51,87,9,17,58,12,8,11,12,59,62,26,5,12,46,24,6,7,11,15,380,116,97,8,19,82,18,37,12,12,8,3,41,9,10,8,9,14,14,11,9,7,7,6,8,44,28,14,31,4,10,11,8,11,13,8,14,11,63,12,14,8,43,15,15,14,42,14,13,35,13,18,12,44,14,18,24,14,16,67,114,43,25,22,17,11,24,12,25,37,14,10,16,19,33,34,30,20,23,10,33,33,65,55,23,18,7,16,42,16,17,12,29,7,15,9,9,22,12,11,20,19,25,28,15,23,17,16,12,20,32,17,27,19,12,10,20,33,13,36,9,11,9,18,16,14,9,28,7,20,15,29,8,16,13,209,10,11,8,15,33,12,8,20,10,12,7,23,11,68,14,23,16,18,16,10,14,41,32,40,91,47,8,19,12,22,34,45,20,24,6,10,70,48,21,27,14,144,13,79,17,11,91,14,9,54,25,10,17,41,23,19,17,22,49,14,36,20,26,23,43,16,73,13,21,43,26,28,16,22,50,36,27,34,53
恐怖活动_zh.wikipedia.org_all-access_spider,6,17,6,5,4,9,10,14,29,11,3,5,4,22,10,6,18,12,12,10,12,9,9,6,5,6,3,9,5,9,3,4,5,5,4,6,5,4,8,4,4,6,5,7,3,18,8,4,5,7,10,7,6,8,11,6,6,10,7,4,2,5,2,11,5,5,8,8,8,14,5,16,7,6,8,3,6,8,4,14,7,6,7,9,3,5,5,2,5,7,12,5,6,6,18,5,8,7,5,4,7,6,4,7,3,13,11,6,5,2,8,7,16,11,4,8,6,3,6,13,8,4,7,6,8,8,8,8,10,9,6,3,11,2,10,14,53,14,22,20,11,16,12,24,8,25,7,9,8,8,3,10,5,4,10,8,7,18,7,7,4,8,7,8,10,7,5,9,13,13,15,8,11,5,6,7,4,9,14,6,7,9,14,11,3,8,14,8,4,8,11,4,8,13,4,7,14,7,9,12,16,9,11,11,19,6,6,9,15,8,19,7,11,4,10,6,9,6,8,3,11,4,7,7,12,17,10,8,8,6,18,4,10,10,11,13,13,12,19,24,25,9,16,14,14,13,7,13,21,9,12,13,8,6
2016年夏季帕拉林匹克運動會_zh.wikipedia.org_all-access_spider,4,1,1,1,4,3,1,0,0,2,0,0,0,0,3,5,3,2,3,0,4,7,0,1,0,1,0,2,4,2,2,0,1,1,1,0,3,0,1,2,1,4,1,2,2,0,2,1,6,0,0,0,0,1,3,0,1,4,2,2,3,0,2,2,3,4,2,1,2,2,1,6,1,2,0,2,1,6,3,7,1,2,2,2,1,2,4,0,5,3,1,4,5,4,3,2,0,2,4,5,1,2,1,0,1,5,1,4,2,4,6,0,1,4,0,3,3,3,1,1,1,4,4,2,2,2,4,3,1,2,2,0,1,0,2,6,3,1,1,1,6,1,1,3,4,1,6,2,3,3,3,4,2,1,4,3,3,12,3,3,4,2,2,0,6,0,2,2,1,4,3,2,6,4,4,2,2,5,5,4,4,3,7,2,2,1,0,6,5,9,4,2,4,3,2,0,3,2,4,7,4,2,3,1,3,3,5,3,0,3,3,3,4,2,2,1,5,3,2,1,0,2,3,1,3,1,2,4,2,0,3,3,7,2,6,2,1,5,3,1,2,3,12,8,10,1,3,2,3,11,5,0,6,2
立冬_zh.wikipedia.org_all-access_spider,4,3,3,3,7,4,11,28,7,2,3,2,2,11,8,2,2,4,2,2,2,4,10,7,3,16,6,4,6,8,3,3,6,5,4,4,3,11,2,4,7,2,2,4,4,2,3,2,3,2,11,13,9,4,8,2,8,3,3,2,4,4,6,2,7,2,12,5,2,4,4,7,2,0,9,6,3,4,12,4,6,1,3,6,5,11,4,6,3,3,6,5,1,1,9,5,6,6,6,2,6,3,5,3,5,3,6,0,1,2,4,3,6,4,7,2,10,3,3,3,3,10,12,5,5,5,6,2,4,12,31,9,9,4,3,0,5,2,5,6,6,6,4,4,10,5,2,6,5,5,1,3,7,7,5,6,6,4,6,2,2,5,3,2,9,3,5,8,12,6,10,3,5,7,12,11,5,5,6,8,5,3,2,8,9,1,6,5,3,0,3,15,6,5,7,8,9,3,2,10,8,11,5,4,5,3,2,4,5,11,7,16,7,4,7,6,5,11,7,9,3,7,2,7,7,6,5,6,4,5,4,9,5,5,8,4,13,6,5,11,14,7,10,6,3,6,3,8,2,6,8,5,4,3
仙劍奇俠傳五_zh.wikipedia.org_all-access_spider,4,7,3,7,4,2,3,4,6,5,7,1,7,7,8,3,11,6,20,16,7,6,7,5,3,5,4,7,3,1,1,4,7,0,1,3,6,2,0,8,2,3,1,4,8,11,5,8,5,5,2,6,5,2,3,2,2,6,0,3,3,4,2,8,3,7,10,8,7,12,9,2,6,7,6,0,5,7,5,11,6,6,8,9,13,6,25,6,15,17,39,2,10,5,6,7,5,4,4,6,8,7,1,5,3,6,12,6,8,4,3,10,5,1,12,2,9,9,4,5,6,8,9,3,8,7,3,6,2,7,3,6,5,3,2,4,1,6,9,5,8,7,6,8,4,11,3,9,10,9,5,4,9,5,6,5,11,11,4,8,7,3,9,2,8,4,3,3,9,6,3,5,7,5,6,3,0,14,8,3,7,4,10,9,7,3,5,12,9,6,2,7,8,9,4,6,6,2,6,9,9,7,5,5,5,6,13,22,5,9,5,16,4,4,14,3,1,12,11,4,8,4,6,8,1,8,8,7,6,7,10,9,15,12,4,7,7,7,8,4,6,7,15,9,7,6,8,9,5,18,22,8,8,2
王祖賢_zh.wikipedia.org_all-access_spider,36,11,7,9,17,3,11,19,52,3,2,2,21,19,7,8,13,4,6,15,9,15,6,8,6,6,3,3,12,5,6,5,3,15,6,7,9,8,4,10,1,9,6,2,7,6,9,6,4,4,3,7,7,8,7,7,5,3,7,6,4,8,6,6,11,4,7,9,6,5,5,8,1,13,3,8,11,10,10,5,3,7,6,10,4,8,24,4,10,7,8,7,7,22,10,14,5,4,4,1,6,5,8,5,12,3,14,5,8,27,4,3,10,6,9,6,6,2,8,4,7,2,2,7,10,5,5,4,7,5,7,3,5,4,16,4,2,6,4,2,11,13,5,5,50,7,6,6,4,11,8,11,10,5,6,11,6,9,7,6,8,7,10,24,13,7,11,7,1,4,8,5,5,38,7,12,7,11,9,3,5,9,7,9,11,6,3,10,8,14,6,7,15,14,13,6,16,10,7,9,7,5,16,20,10,12,11,10,11,16,11,18,16,10,12,5,20,15,12,6,7,10,4,9,9,12,10,14,10,4,11,13,12,9,10,7,7,13,14,9,5,15,18,14,10,9,163,14,8,15,13,8,9,10
翡翠台電視劇集列表_(2010年代)_zh.wikipedia.org_all-access_spider,66,49,45,78,31,26,12,27,67,51,17,56,46,35,24,40,81,55,14,2,66,66,22,9,33,34,10,18,16,6,54,2,5,7,39,26,22,3,9,38,41,32,12,8,19,29,11,24,51,12,115,42,68,61,81,51,62,34,50,9,30,98,81,45,101,38,53,43,53,21,9,34,12,45,64,3,17,35,45,93,102,83,191,74,40,51,37,23,39,98,103,53,111,85,38,105,198,100,227,70,69,29,51,42,60,60,32,95,20,61,53,74,54,53,9,66,40,71,21,115,69,41,36,46,47,65,9,80,93,58,44,64,103,35,56,38,21,121,116,81,50,16,33,18,47,29,62,47,26,34,21,81,137,104,31,43,40,27,29,74,38,83,31,90,65,15,56,26,40,39,58,153,27,64,55,52,35,29,103,89,15,83,132,94,43,76,44,35,32,18,61,18,67,134,23,55,27,72,54,26,51,60,60,105,58,204,84,93,179,83,19,36,48,118,111,121,80,251,121,118,100,108,46,22,69,25,60,72,21,37,29,61,61,38,51,73,73,125,117,49,147,143,58,44,66,39,97,92,47,50,49,68,96,124
區議會（第二）功能界別_zh.wikipedia.org_all-access_spider,4,10,6,10,7,3,5,15,7,9,3,7,7,16,3,4,4,6,6,4,3,9,4,2,1,0,5,7,2,4,3,81,2,5,4,4,2,2,3,7,1,2,2,4,2,3,7,2,4,4,3,1,6,2,2,8,5,5,3,5,4,2,1,4,8,4,3,1,5,4,5,5,17,4,3,4,4,1,1,10,4,5,2,6,4,5,8,8,3,2,6,8,8,6,4,5,10,4,1,9,2,4,3,2,11,3,2,6,4,8,4,1,6,2,7,5,2,4,12,6,5,5,11,4,2,2,6,4,6,3,9,8,6,8,1,6,6,5,5,4,11,8,4,4,13,11,14,7,41,2,7,7,6,8,5,3,5,3,4,3,8,11,13,11,9,4,8,4,13,14,9,9,12,8,12,7,5,8,7,6,4,12,10,2,3,8,3,2,4,9,5,6,2,3,7,7,9,4,2,12,4,2,8,3,7,7,7,11,5,12,6,13,5,9,7,11,6,15,11,7,4,13,4,5,5,7,5,4,6,5,3,5,6,7,9,6,7,7,9,24,3,8,8,5,10,10,13,6,8,11,9,5,10,11
